feature,spearman,pearson_on_logy,decile_monot_r2_signed,mse_reduction,decile_med_lift_log,top_decile_5x_rate,top_over_bottom_5x_ratio,combined_score
total_size,-0.07862123907216717,-0.020694641816075995,-0.6121596988462997,83.8330466098887,-0.1071980411493112,0.12962962962962962,0.711864406779661,1.9533557186094963
sn_buyer_hhi,-0.05113721402153183,0.05789766269318581,-0.24172012446376887,188.57868015881104,-0.1081281952866402,0.16666666666666666,1.8620689655172413,1.9487292492683697
pa_buyer_diversity,0.0431566855363783,-0.02838820986397675,0.31142054478862485,616.1369762623908,0.0749043097616624,0.12654320987654322,0.706896551724138,1.9421864752452294
sn_gas_fee_uniqueness,-0.0622899812545752,-0.020846166363334025,-0.7430153295213806,46.6977671278255,-0.09576429839785117,0.12654320987654322,1.1081081081081083,1.928465124598115
sn_trades_in_first_slot,0.05079172259221453,0.03197641383085585,0.5890525834848037,42.08113993925508,0.08850289368900832,0.15269461077844312,1.4278570518537395,1.9009793687101153
pa_max_drawdown_pct,0.10142577032746257,-0.011707179541202734,0.29166084327536446,85.91401778065847,0.17884083494405845,0.12962962962962962,1.0,1.8769459018965557
sn_first10_pct_zero_gas,0.07184690838065495,0.05730899725199264,0.542925997655439,9.238935627538012,0.11644143818669428,0.10945273631840796,1.2753623188405798,1.8510425781056097
sn_top1_buyer_share,-0.03522452125251192,0.06997680866431687,-0.055873496121717346,197.13637961867062,-0.12872998090216414,0.16666666666666666,1.7419354838709677,1.8021937676828057
sn_first_30s_top1_buyer_share,-0.019537207296676157,0.08237650428070806,-0.046768872263673364,345.68584292293235,-0.07922824514202331,0.16666666666666666,2.5714285714285716,1.7941501342492288
avg_trade_size_ext,-0.06707571695224268,0.02195811825366936,-0.4750096322045185,132.89602768203986,-0.07433194162218282,0.1388888888888889,1.0,1.7768863619183215
kolscan_count,-0.029756936393852084,-0.07640319722135111,-0.946554367643763,15.765290595576516,-0.03258888528874593,0.07317073170731707,0.5812084257206208,1.7279649003095587
pa_vol_first_10s_share,-0.06515707135828513,-0.0245491289262756,-0.5992895903191081,23.273686493423156,-0.11935929751472385,0.09876543209876543,0.7441860465116278,1.6792762930434637
unique_buyers,0.053232370307832656,-0.08761150998680266,0.15771900901492003,349.1787268499502,0.11634626588028274,0.06769230769230769,0.3677948717948718,1.5941214814643279
unique_buyers_ext,0.053232370307832656,-0.08761150998680266,0.15771900901492003,349.1787268499502,0.11634626588028274,0.06769230769230769,0.3677948717948718,1.5941214814643279
dev_balance,-0.08462891966088452,-0.01827548198949074,-0.48776171378757854,24.449540774417983,-0.09495750975533301,0.10185185185185185,0.8559472934472934,1.5743078153577483
amount_of_lookup_reads,-0.0514716069649868,-0.07771025368694737,-0.4291727942043849,21.7339561826484,-0.15199676164629894,0.06441717791411043,0.374286016500952,1.5701713487757156
pf_program_index,-0.0495180693129498,0.013130159993031484,-0.3367102968450042,15.405781721252424,-0.08187575212038078,0.1641025641025641,1.3440781440781442,1.5621943417936097
unique_wallets_ext,0.052916783246994975,-0.08601321144905519,0.125631932344557,349.1787268499502,0.11794919303918872,0.06790123456790123,0.36666666666666664,1.5567783083808113
unique_traders,0.052916783246994975,-0.08601321144905519,0.125631932344557,349.1787268499502,0.11794919303918872,0.06790123456790123,0.36666666666666664,1.5567783083808113
total_size_gini,0.06986948880266083,0.000296501269147527,0.4760770314684152,50.88970464175145,0.048704247235045406,0.13580246913580246,2.933333333333333,1.5139065930346316
creation_ix_index,-0.08003723826731976,-0.05725569734122766,-0.3826295649214412,3.1754823365045013,-0.11494096769462414,0.0735632183908046,0.5564701520207638,1.4899017562785848
hurst_ext,0.045996425824352316,0.017897905319077465,0.4818419214915158,51.76805637439247,0.016314416647418284,0.14814814814814814,1.0666666666666667,1.4808918634064059
pa_vol_gini,-0.08755772944099627,-0.019253198278707924,-0.3757778904881979,38.78889011254432,-0.11336195145362893,0.08641975308641975,1.2173913043478262,1.4453718328674667
gini_coefficient_buyers_ext,-0.026458164780292576,0.08289508037678261,-0.043217835546844684,141.5926043522304,-0.06846824405334218,0.1388888888888889,1.8750000000000002,1.4178964947927994
buy_size_gini,0.04501667288887266,0.0009896893199179374,0.3771521253217598,55.279605152012664,0.037653994185112394,0.1574074074074074,2.8333333333333335,1.4034938463808238
gas_used,-0.00595796624883213,0.06219944517503838,-0.029750640261683368,152.6635743199622,-0.06634474021132941,0.16049382716049382,2.4761904761904763,1.3466062370166725
holders_deals_gini,-0.07667277412065224,-0.03514693835688037,-0.2757945308487333,21.62301669120643,-0.12624357663664476,0.06790123456790123,0.4888888888888888,1.2706028434697967
unique_sellers,-0.05097022663579444,-0.11807202028209665,-0.12128903948457638,169.94944165960987,-0.03318226511887801,0.06134969325153374,0.273972602739726,1.240971274389239
